x,y,title,User,Category,Description,Installations,Score,image
-0.95799345,7.328308,Lullaai - Baby Sleep Training,Parents,Helping babies to sleep,"Lullaai simplifies the way you understand and manage baby sleep so your whole family can have healthy sleep habits.
“Within five days Rio was sleeping for 12 hours straight. I couldn’t believe it.” –  BBC News

Lullaai is what you need to help you...","10,000",n/a,https://play-lh.googleusercontent.com/vJpN_IOZWoakDZ-ltF6KDkm4fDeZWMDjpJHvvA4XMm3HbZLhpiY-RTM21bXlpt8ai4M
1.5995303,9.21434,Baby Shark TV: Songs & Stories,Children,General play,"Watch over 4,000 high-quality Baby Shark and Pinkfong videos, songs, and other animated content for kids without ads.

Why should I download and subscribe to Baby Shark TV app?

1. Top Quality, Educational Content
- app provides educational, kid...","5,000,000",3.83,https://play-lh.googleusercontent.com/N7Kf5CZB5yFGddAZxmtjylZuG9ECPJFm1y_sdV7Gx_WrawDP-k-9mpFY_hRL4E3IXPo
4.193806,11.1086035,Zebrainy - ABC kids games,Children,Learning play,"An educational app for kids ages 3-5 featuring games, stories, and cartoons. Learn your ABC’s, letters, numbers, sizes, colors, and shapes! Learn to read by syllables and count! Develop emotional intelligence, logic, and reasoning. Doesn't that sound...","1,000,000",4.53,https://play-lh.googleusercontent.com/V6N1CcWgqsu-qwP8gi4ygapXljQ8K3OlCYawLmg-nEkKXZ6i-zmGQfegFlgqvCBvjw
2.714343,12.046812,Kids ABC and Counting Puzzles,Children,Learning play,"Complete jigsaw puzzles of cute cartoon pictures while learning the English alphabet and counting. Build memory skills with the pair matching games and learn addition and subtraction for numbers from 1 to 20.

Now with bonus find the pairs memory t...","100,000",3.65,https://play-lh.googleusercontent.com/jrMjgDe_M0TfruShTDV_t16eSNwxQ5k8PykDNR5UiOmrO0uVSttMqBfKZNJqlaW-MmzU
3.0653796,9.588105,LeapFrog Academy™ Educational Games & Activities,Children,Learning play,"Go on a learning adventure and subscribe to receive 2,000+ Learning Activities with No Ads

Help your child build core developmental and cognitive learning skills through interactive modules and games. 

LeapFrog Academy is an educational app des...","500,000",2.56,https://play-lh.googleusercontent.com/3IvBaeERLDXtv-TqGfLZKbR-KNX93BR3rRRH9iP97w0B6gRyl4rsOO5IYLJiHoxshKU
-1.3289424,6.9963813,myHummy,Parents,Helping babies to sleep,"With the myHummy mobile app you can:

    Switch the sound device on and off
    Select your preferred sound - there are 5 types of white noise to choose from, which resemble: a hairdryer, vacuum cleaner, sea waves, rainfall, and amniotic fluid wi...","50,000",3.5,https://play-lh.googleusercontent.com/kJzOrOA6sLhNZKaI0b4muhX71db4WIc7cpIS-UZKko0VRo1e6lvkKsYICThkdlsb9Gbq
3.78991,10.495792,Kindergarten Learning School,Children,Learning play,"Kindergarten Learning School app has many kids learning activities with quizzes.  

Educational and Fun App for kids & preschool children. 

Best app for kids to learn alphabet, numbers, shapes, rhymes, counting, tracing, coloring with interactiv...","100,000",n/a,https://play-lh.googleusercontent.com/utRJJGkmHt45URcwek6oQ34YkHsElfnVEBWhDeSrpjp0oQAmJKrSWbYvuTpc85HHl7A
1.3310001,13.770448,Fruits Coloring book for kids & Food Drawing book,Children,Drawing and colouring,"Color the coloring pages of fruits & vegetables on your phone or tablet in this virtual coloring game and painting book. It so easy that even toddler can play, doodle, paint & draw. This coloring game is a kids coloring game where children can color ...","1,000,000",4.17,https://play-lh.googleusercontent.com/JfjoU4yLuHja5VWMH91gN2buwbpZBab-e7CboSqKimGCJG1YOeUXGeTdVWQHXOr-Luc
-1.5534145,8.00662,Lullaby Songs Relax Music 2022,Parents,Helping babies to sleep,"Make your baby sleep listening relaxing music.
Huge Collection of Lullabies.

•	25 lullaby songs
•	Offline supported
•	Screen-off mode supported
•	Chromecast supported
•	Volume control
•	Material design

Please support us with ★★★★★!...","100,000",4.58,https://play-lh.googleusercontent.com/6e3QwA2sgka50iQJ9RkNBUToWbVHfp8Va3irjguRIHFDqma8ujAYfy79uyV4LbxKJz0
2.067344,5.662695,Baby Pics Pro,Parents,Baby photos,"Capture your precious moments and turn them into ever lasting memories. Baby Story App makes your pregnancy, baby pics, and baby milestones into beautiful visual stories. 

Parents-to-be & new parents, Baby Pics app is made for you!

Capture prec...",500,n/a,https://play-lh.googleusercontent.com/O7j0E6pynrT1FAHTBjrnBWvPp8PhUVGCaTICvTlgfETTPhwG1l135nSlZIrd0SBv_Sod
3.609248,8.703516,Kids' Books: Reading Library,Children,Literacy - English / Reading and Stories,"Premium Library of Kids Read Aloud & Math Practice is an award winning app with exclusive educational books for children and toddlers.

📚LARGE LIBRARY OF KIDS BOOKS
Our unique library of read alongs, audio books and stories that read aloud to kids...","100,000",4.6,https://play-lh.googleusercontent.com/CkGPXerK8Ug33ekGllN82I9_fD7_iCOnaaelQZ-lOYjqurpJlPnLXWwcn44ezfEk9Mo
0.7945442,3.9886336,"Beaming Baby - Pregnancy Tracker, Blog + Fun Stuff",Parents,Pregnancy tracking,Track your little's development with our pregnancy tracker. Plus keep an eye out for a EXCLUSIVE offers on Natural and Organic Eco Baby products....,"1,000",4.07,https://play-lh.googleusercontent.com/ykQ8TDf88RxRRz9Mrwl2M3IvlMjKr6VJ9PBk4WZV_hLhDio-wBwRGAP7JBp0frnbwEk0
1.4817216,13.050505,Color by Numbers - Dogs,Children,Drawing and colouring,"Kids like to draw and they also like dogs. Dogs are the most devoted friends. You can teach your cute puppy different commands. You can play ball, travel, and just take care of it. Dogs also have a great nose and are the best detectives! In exchange ...","5,000",n/a,https://play-lh.googleusercontent.com/o13Li3AgXs1W1Iu17wfFVrEg20InTYbsE12dt4bO84cM7O7p0hXtgkQECh8MorYZV7ke
-1.0605037,11.329478,Kids Dinosaur Adventure Game,Children,Learning play,"FIVE fun and exciting games with lots of dinosaurs for all the dino lovers out there!
 
Dino Adventure
 
This is a simple game for toddlers. You dig for dinosaur bones by rubbing the screen on the marked spots. While digging, you find dinosaur bo...","10,000,000",3.74,https://play-lh.googleusercontent.com/SWPY1QS6OwYv8IWbCuh9Kd8sbpYkEHWFJkK4C_MQxt5EdeNAdMCAPAShXuZ7SJCBRQ
3.8099527,8.7445,Epic: Kids' Books & Reading,Children,Literacy - English / Reading and Stories,"A leading digital reading platform, Epic offers a fun, safe and enriching space loved by kids, parents and teachers. Kids are able to read on their own at any level, and parents and teachers can track kids’ reading activity and send kudos to keep the...","5,000,000",4.25,https://play-lh.googleusercontent.com/v50zN_2wAEaFrfkDbhAIOt63lKGUc78UeTkYeXKPEaw0BuLDOpf4rZwJfIiCi9tpCw
5.696627,8.900094,French Word Wizard - Learn to read and spell,Children,Literacy - non-English,"Used in many Schools (22K units sold to primary schools & preschools)
French Version of the English app featured in The New York Times and awarded by Children's Technology Review

Want to teach your kids to read and spell French words? French Word...","100,000",3.4,https://play-lh.googleusercontent.com/RB5W-45km2qQtcYzn4JD2BM-jP62uPKek1Fi91HO9_xTYRi9iW_C_gYuCWvJ7mcx9sw
-0.005921165,4.7072597,Baby Feeding Tracker - Newborn Feeding and Care,Parents,Tracking babies' rhythms,"Easy and free baby feeding tracker app for parents to track your newborn baby’s daily habits and health with a quick one-hand tap! Easily share and communicate with doctors or caregivers whenever necessary.  

Baby Tracker - Breastfeeding Diaper Sl...","50,000",4.74,https://play-lh.googleusercontent.com/ykf_R3uFrA6VhOWJ4o23ShykLV-Rsg7PKM9wuBbw7UW7JysP-FRHnptPaPEWmTSWYpHC
5.9024205,10.938917,PLAY-DOH Create ABCs,Children,Literacy - English / ABCs,Learn your ABCs using ‘virtual’ PLAY-DOH modeling compound with this delightfully interactive educational app! PLAY-DOH Create ABCs application is designed to help children develop the essential skills required for reading and writing. Using this app...,"1,000,000",3.87,https://play-lh.googleusercontent.com/OEcw0BXL-N8fL-cHqQsts6KW4j8dMQomM8Lk7pKO3jYU3Izo-DDogZnDvIBJjXZAIg
4.2897696,10.376646,Kids Learning Word Games premium,Children,Literacy - English / ABCs,"A Learning game for preschool and KS1 children to teach English Letters, phonic concepts, word formation, rhyming words etc. Supporting parents/teachers to get their child ready to read.

** Games are designed to enhance following skills
  1. Basi...",100,n/a,https://play-lh.googleusercontent.com/zj32Zind3fpfE-K2Y7MSbjHP_Tsm3pSDyAcHkhVLizWyp4bS5zXB7WKLSwPWAWZomTY
0.9937097,12.329403,Fantasy Coloring Book & Games,Children,Drawing and colouring,"Fun game that develops and stimulates the creativity of children of all ages through different activities:

★ Color and Paint hundreds of pages in the same way you would on paper.
★ Decorate your creations with beautiful stickers.
★ Paint by Pixe...","1,000,000",4.18,https://play-lh.googleusercontent.com/4AI-L4EsQyCFDqfTvhwM2Sfb0xpSmT6D0VTzwQ2Q0-Kcw0VP4fAVANhy9TpqeLC5gJnV
1.0371965,10.919748,Farm animals for toddler Babies card Animal sounds,Children,General play,"Free mobile app - ""Animal Sounds for Kids"" - a unique game that will make the process of learning and development for children up to the age of three, interesting and exciting.
The educational game ""Learn farm animals for Kids"" is a useful mini-ency...","500,000",5.0,https://play-lh.googleusercontent.com/MRiEda-DwDiaqIsI2dOTAzArAYUni-bIPOb8q1w4n6zE-6-cVx-IR72Veaec7cr4FiE
1.1552202,4.1348524,WomanLog Pregnancy Pro,Parents,Pregnancy tracking,"WomanLog Pregnancy is a pregnancy calendar for women.

User interface languages:
English, Deutsch, Français, Italiano, Español, Português, Dansk, Latviešu, Magyar, Nederlands, Polski, Svenska, Čeština, Русский, 日本語, 简体中文, 繁體中文, 한국어.

Key feature...","10,000",4.3,https://play-lh.googleusercontent.com/7UIWCD65jkWUVsfsUmqLdkOjl6MOBxCHy6LdiZprW3ZdxwmpaCx8H5XV5vDGEmcM8MU
5.4812307,10.07326,ABCInfinite - Kids Tracing &  Baby Phonics Games,Children,Literacy - English / ABCs,"ABCInfinite is a powerful educational app for toddlers and preschoolers, which will acquaint your kid with the English alphabet, numbers, and words.

The app teaches to distinguish letters, numbers & words as well as to pronounce and studied terms ...","10,000",n/a,https://play-lh.googleusercontent.com/Tm2ymbgIrxe_iLktDsXUDjUNGOB5uH1qpmIoFGDc_1mngg-DSU6bwL6oE78swCZjHXA
3.6812828,8.534605,Vooks,Children,Literacy - English / Reading and Stories,"Vooks is a streaming library of read-aloud animated storybooks. Kid-safe, no ads!
 
Trusted by families & educators, enjoyed by millions of children around the world.
 
Do you have a child in Preschool - 3rd grade? Inspire a love of reading in th...","100,000",3.47,https://play-lh.googleusercontent.com/0TuilYg9Zqloc4kinBvw2UceBvFFGZdkz_GrJs6pBuyXULXc5VHDIP4XW7hTnGKnmYb7
5.0652666,13.180146,Kids Learn to Count 123,Children,Numeracy development,"Count on Intellijoy to make learning to count as easy as 1, 2, 3 !    Enjoy guilt-free mommy and daddy time, while your toddler is busy learning numbers.   Or, share the experience together with your child while snuggling up in a big chair with your ...","10,000",n/a,https://play-lh.googleusercontent.com/1p1xBjHDc_aWjqUZN31Agdk0X9yn4g8fzlE__CO9xZcF3rNiCJh6rHImu10ahd-GIw
-0.87946945,6.123197,BabyNaps,Parents,Helping babies to sleep,"BabyNaps is the app for tired parents longing for better sleep. Every day you get suggestions for nap times for your baby in a sleep schedule. When you find your routine, your baby will sleep just the right amount during the day - and well at night. ...","5,000",n/a,https://play-lh.googleusercontent.com/pxqY0JyfPDqGvD0sCMAWe0kxcTECou7C4XycsSjmWfC76Hs3SGGZqv9OK3zDft_3tu8
5.5268044,8.639158,Corneille: reading in French,Children,Literacy - non-English,"Corneille creates smart screen time by teaching kids French.
Corneille takes your child into a fantastic adventure of reading in French!  As a fun and educational game for children ages 3 to 8, Corneille makes learning French easy.  Children will di...","10,000",n/a,https://play-lh.googleusercontent.com/5J0fAguak1AOwx2UAd26Q_LgOS4Pd9XeBT_yrgprSeNEZ4m4PcXBVTgFrbHILtz_ryuA
-1.0907106,7.2777348,New Horizon: Kids Meditation & Sleep Stories,Parents,Helping babies to sleep,"Struggling to get the kids to sleep? Allow these relaxing Sleep Stories, Guided Meditations and purposely-designed Sleep Meditations to get your little ones off to a perfect nights rest.

With over 25 Million YouTube views our Meditations and Sleep...","10,000",4.47,https://play-lh.googleusercontent.com/8nzlfoE5u-svLgjnymxNVIpvNHGAEZCzwjesDZslZpyjspywFql3VKjfpEqCE40AlQ
0.019611558,9.956672,Puzzle Play: Building Blocks,Children,General play,"Creating vehicles, animals and buildings with blocks •• Children learn to distinguish shapes, colors and sizes •• Includes many different templates and shapes. 
A creative and educational game for children from 2 to 5 years of age. 

This app can ...","10,000",n/a,https://play-lh.googleusercontent.com/hcek8FYmQzzYurorcxS-IOoyKZVAzso52abrVJ5adM1xKaRC8JXmoUnpYiR5_9Pi4eU
