x,y,title,User,Category,Description,Installations,Score
3.0257843,11.6664295,"Game for preschool kids 3,4 yr",Children,Learning play,"This free learning game offers a safe and friendly environment for kids and toddlers to play multiple engaging games and develop their logical thinking as well as Eye–hand coordination. Kiddos will enjoy playing these interactive games.

 Features ...","50,000",n/a
1.6153543,11.396807,Memory game for kids: Unicorns,Children,General play,"* Unicorn memory game for kids is the classic board game, which help develop memory skills of children.
* Playing this Little pony matching game with your kids will help them improve their recognition while having fun.
* Kids memory game contains v...","100,000",n/a
4.2343836,12.543855,"Kindergarten Maths - Count, add, subtract to 30",Children,Numeracy development,"6 games for each of  30 stages that cover most of the counting, addition and subtraction content covered in kindergarten/prep - the first year of school - or Early Stage 1 (4-7 year olds). Suitable for remedial and extension groups.

Two stages to ...","10,000",n/a
1.5625901,8.677878,Daniel Tiger for Parents,Children,General play,"Help your toddler learn life’s little lessons with their friend and neighbor, Daniel Tiger. Daniel Tiger for Parents is a free parenting app that provides parents and caregivers with popular and catchy kids songs and videos from the hit PBS KIDS seri...","500,000",n/a
2.1071465,1.392812,Natural Cycles - Birth Control,Parents,Fertility tracking,"Choose Natural Cycles - the only birth control app that is cleared by the FDA in the US and CE-marked in Europe as a medical device - and take birth control into your own hands.

Particle physicist Dr. Elina Berglund initially developed Natural Cyc...","500,000",4.85
2.948244,12.937492,Shape Up! Lite - Busy Things,Children,Drawing and colouring,"Shape Up! Lite is a shape game designed for very young children, but parents and older children will love it too! Simply trace around the simple shapes or use the paint bucket to fill them in. Once you have finished your creation will come to life! T...","10,000",3.29
0.6738093,5.194228,CDC Milestone Tracker,Parents,Tracking babies' rhythms,Milestones matter! CDC has released updated milestones and two new checklists (15 and 30 months) to better support your child’s development*. Existing app users can find their checklist history on the homepage under “View Checklist History”. Track yo...,"100,000",2.11
2.6921873,10.461144,Kids Educational Game 5,Children,Learning play,"New pescAPPs educational game! This fun application contains 12 games designed for kids. In English, Spanish and Portuguese. With this game kids will learn:

- The alphabet, draw letters
- Improve their memory, logic and concentration 
- Distingu...","10,000,000",3.95
4.9874043,9.098933,Kids Spelling 500 words,Children,Literacy - English / ABCs,"A self paced educational learning app that teaches children how to spell more than 500 common English words. The learning process is accomplished in three stages: learning, practise and checking.

The program consists of word sets beginning with ea...","1,000,000",4.08
1.875258,10.958562,Be-be-bears: Early Learning,Children,Learning play,"Be-be-bears: Early Learning is a suite of “edutainment” apps to prepare your child for school. It lays the foundation for success in reading and counting, and nurtures creative talent. All the best-loved characters from the Be-Be-Bears cartoon make t...","1,000,000",4.11
0.78822774,13.210027,Magic Board - Doodle & Color,Children,Drawing and colouring,"The best drawing and coloring game for everyone!

Is an entertaining game that lets you coloring and draw realistically. Try your artistic talents!

Decorate your artworks with over 100 beautiful stickers.

Use your imagination to coloring and ...","1,000,000",4.02
3.1396992,9.710252,Toddler Phones & Baby Games,Children,Learning play,"📱 Baby Phone for Toddler Games is a free educational game for kids. Learn lots of fun with Baby Phone Games. 

Fun baby games for kids help your toddler to Play baby piano, musical instruments & nursery rhymes. Learning 🎵 musical games for kids to ...","10,000",n/a
0.5729279,10.641273,Sago Mini Farm,Children,General play,It's harvest season on the farm – and there's so much to cock-a-doodle do! Don't worry – there are dozens of brand-new characters who are happy to help. Load up the tractor with hay and feed the horses with Robin.  Or grow healthy veggies with the he...,"10,000",n/a
0.12003056,11.270774,Hey Duggee: The Tinsel Badge,Children,General play,"Hey Duggee: The Tinsel Badge is the brand new official app for fans of the show and it’s FREE!

Christmas is coming but the Clubhouse isn’t looking very Christmassy! Help the Squirrels earn their Tinsel Badge by decorating Duggee’s Christmas tree. ...","1,000,000",4.02
1.0907406,3.13832,Pregnancy Tracker,Parents,Pregnancy tracking,"Pregnancy Tracker is a very helpful app for a pregnant woman. 

Best pregnancy app for you! 

With Amila Pregnancy Tracker you can easily: 
- track your pregnancy app week by week 
- get information about your baby 
- calculate current week of...","5,000,000",4.87
0.6524649,4.9794817,Development of the child up to a year,Parents,Tracking babies' rhythms,"The application contains materials on the care, health and development of the baby for up to a year.
This application will be a good assistant to a young mother.
Here you can find a lot of useful information and tips, and as a pleasant addition, my...","100,000",n/a
1.0930024,9.998303,Sago Mini Neighborhood Blocks,Children,General play,"*Try before you buy!* Play Neighborhood Blocks free 6 times, no strings attached.

Howdy, neighbor! Help your Sago Mini pals get settled in their colorful new neighborhood by stacking, painting and playing with dozens of interactive blocks. As you ...","100,000",4.1
-0.7684102,4.8578086,Mamava - Breastfeed on the Go,Parents,Tracking babies' rhythms,"From Mamava, the creator of freestanding lactation pods, an easy-to-use-app that helps you find thousands of lactation spaces, get and give support, and more.

PARENTS LOVE THE MAMAVA APP!
“This app is a godsend. It helped me find not only Mamava ...","10,000",n/a
3.830523,9.607183,First Words 24 Months Plus (Baby Flashcards),Children,Literacy - English / ABCs,"First Words – 24 Months Plus is an educational game designed to introduce your baby or toddler to everyday vocabulary. It’s fun and perfect for kids between the ages of 1 to 4.

It is simple to use. Select a category, review flashcards, and interac...","100,000",4.08
4.675618,10.354601,Kids Learn to Read,Children,Literacy - English / ABCs,"Already enjoyed by over five million families, Learn to Read with Tommy Turtle is a delightful game that invites preschool-aged children to blend sounds into words, read and form simple words, identify spoken words and learn word families.

Its six...","100,000",4.12
-1.343217,7.054728,Baby Shusher - Soothing Sounds for Baby,Parents,Helping babies to sleep,The Baby Shusher App is a revolutionary new tool for parents that will calm baby easily using soothing sounds. This calming sounds machine is created using an ancient but doctor-tested and approved technique to help soothe your fussy baby calm with a...,"10,000",2.85
5.153301,9.565445,Spelling & Phonics: Kids Games,Children,Literacy - English / ABCs,"Ready to play a truly free spelling game for kids❓ What about a spelling game without ads? 🚫 Did we mention we’ve got multiple spelling games all in one game? ✔️ Learning to spell is not one size fits all, that's why our free kids game includes over ...","5,000,000",4.55
3.9399292,13.201185,DoodleMath: K-6 Elementary Math,Children,Numeracy development,"DoodleMath builds the math confidence and ability of your 4-14 year old with a work program tailored to their strengths and weaknesses. Using Proxima™, our award-winning technology, DoodleMath analyses and intelligently designs a unique learning prog...","100,000",3.99
4.259633,9.725084,Learn to Read - Phonics ABC,Children,Literacy - English / ABCs,"“Learn to Read & Save the Animals” – is an educational Montessori game for kids created for preschoolers from 4 to 7 years old and junior school children of the 1st, 2nd and 3rd grades, who learn English. It can be used for pre-school education and t...","100,000",n/a
5.924366,9.268172,ABC Arabic for kids,Children,Literacy - English / ABCs,"Looking for a fun, free, and simple educational app to help your toddler learn phonics and trace letters of the alphabet? Look no further than

- kids zone
- pre school
- Children alphabet
- Calendar 
- Learn Alphabet
- french for kids
- Lett...","1,000,000",n/a
2.8725116,9.681374,Baby Boo - Kids Learning app,Children,Learning play,"Baby Boo Kids Learning App  is best educational game for toddlers 1-5 years old, that is both entertaining and educative. Baby Boo Kids Learning App  helps parents turn an ordinary Smartphone into a toy phone for babies. 

Baby Boo Kids Learning Ap...","5,000",n/a
1.7367951,10.710462,Kids Learn About Animals,Children,General play,"""Kids learn about Animals"" is an educational game for children aged 1 - 4 years from the series “Little One Learns Words”!

Together with your child, you can watch wonderful images of different animals, all while learning their names and listen to ...","50,000",4.79
1.0902997,5.7441683,Mom or Dad Face App - Baby looks like dad or mom?,Parents,Baby photos,"Enough for discussions about your baby face look alike who! 👶 Who does baby look alike more, mom and dad? 👨‍👩‍👦  

🧑🏻‍💻Mom or Dad app enables you to decide facial resemblance of young child face to parents with exact percentages thanks to excellent...","100,000",3.71
